"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1999-11",6.439579,
"AUS","HUR","TOT","PC_LF","M","1999-12",6.68445,
"AUS","HUR","TOT","PC_LF","M","2000-01",6.767815,
"AUS","HUR","TOT","PC_LF","M","2000-02",6.619169,
"AUS","HUR","TOT","PC_LF","M","2000-03",6.565141,
"AUS","HUR","TOT","PC_LF","M","2000-04",6.376435,
"AUS","HUR","TOT","PC_LF","M","2000-05",6.414562,
"AUS","HUR","TOT","PC_LF","M","2000-06",6.115251,
"AUS","HUR","TOT","PC_LF","M","2000-07",5.954044,
"AUS","HUR","TOT","PC_LF","M","2000-08",6.051233,
"AUS","HUR","TOT","PC_LF","M","2000-09",5.963196,
"AUS","HUR","TOT","PC_LF","M","2000-10",6.009587,
"AUS","HUR","TOT","PC_LF","M","2000-11",6.261217,
"AUS","HUR","TOT","PC_LF","M","2000-12",6.243875,
"AUS","HUR","TOT","PC_LF","M","2001-01",6.139834,
"AUS","HUR","TOT","PC_LF","M","2001-02",6.50189,
"AUS","HUR","TOT","PC_LF","M","2001-03",6.45878,
"AUS","HUR","TOT","PC_LF","M","2001-04",6.782627,
"AUS","HUR","TOT","PC_LF","M","2001-05",6.893292,
"AUS","HUR","TOT","PC_LF","M","2001-06",6.932993,
"AUS","HUR","TOT","PC_LF","M","2001-07",6.87991,
"AUS","HUR","TOT","PC_LF","M","2001-08",6.88072,
"AUS","HUR","TOT","PC_LF","M","2001-09",6.841168,
"AUS","HUR","TOT","PC_LF","M","2001-10",7.193298,
"AUS","HUR","TOT","PC_LF","M","2001-11",6.883575,
"AUS","HUR","TOT","PC_LF","M","2001-12",6.861361,
"AUS","HUR","TOT","PC_LF","M","2002-01",6.913642,
"AUS","HUR","TOT","PC_LF","M","2002-02",6.536505,
"AUS","HUR","TOT","PC_LF","M","2002-03",6.430464,
"AUS","HUR","TOT","PC_LF","M","2002-04",6.346159,
"AUS","HUR","TOT","PC_LF","M","2002-05",6.372886,
"AUS","HUR","TOT","PC_LF","M","2002-06",6.495883,
"AUS","HUR","TOT","PC_LF","M","2002-07",6.179758,
"AUS","HUR","TOT","PC_LF","M","2002-08",6.348516,
"AUS","HUR","TOT","PC_LF","M","2002-09",6.311471,
"AUS","HUR","TOT","PC_LF","M","2002-10",6.128222,
"AUS","HUR","TOT","PC_LF","M","2002-11",6.161806,
"AUS","HUR","TOT","PC_LF","M","2002-12",6.182201,
"AUS","HUR","TOT","PC_LF","M","2003-01",6.081307,
"AUS","HUR","TOT","PC_LF","M","2003-02",5.955179,
"AUS","HUR","TOT","PC_LF","M","2003-03",6.13139,
"AUS","HUR","TOT","PC_LF","M","2003-04",6.030479,
"AUS","HUR","TOT","PC_LF","M","2003-05",6.069442,
"AUS","HUR","TOT","PC_LF","M","2003-06",6.05486,
"AUS","HUR","TOT","PC_LF","M","2003-07",6.128107,
"AUS","HUR","TOT","PC_LF","M","2003-08",5.816997,
"AUS","HUR","TOT","PC_LF","M","2003-09",5.774591,
"AUS","HUR","TOT","PC_LF","M","2003-10",5.783438,
"AUS","HUR","TOT","PC_LF","M","2003-11",5.660858,
"AUS","HUR","TOT","PC_LF","M","2003-12",5.681405,
"AUS","HUR","TOT","PC_LF","M","2004-01",5.531065,
"AUS","HUR","TOT","PC_LF","M","2004-02",5.643463,
"AUS","HUR","TOT","PC_LF","M","2004-03",5.437772,
